host_id,host_response_rate,host_listings_count,host_total_listings_count,accommodates,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
64442,100,2.0,2.0,1.0,1.0,40.0,1.0,2.0,1125.0,1125.0,6,33,45,208,20.3,3.0,4.0,136,2.6,255,2.0,0.0,2.0,0.0
4396,100,3.0,4.0,1.0,1.0,31.0,1.0,1.0,31.0,31.0,14,18,18,18,20.3,59.0,3.0,18,54.0,255,2.0,0.0,2.0,0.0
394752,0,1.0,2.0,3.0,30.0,730.0,30.0,30.0,730.0,730.0,0,0,0,0,3.0,0.0,0.0,0,0.0,0,1.0,1.0,0.0,0.0
401696,60,1.0,1.0,2.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,16,19,36,288,20.3,4.0,0.0,121,4.0,240,1.0,1.0,0.0,0.0
401921,100,1.0,1.0,2.0,30.0,150.0,30.0,30.0,150.0,150.0,29,59,89,364,20.0,0.0,0.0,197,0.0,0,1.0,0.0,1.0,0.0
417504,100,29.0,40.0,2.0,1.0,365.0,1.0,1.0,1125.0,1125.0,27,57,87,164,70.0,6.0,0.0,164,11.0,77,29.0,15.0,10.0,0.0
425506,100,1.0,3.0,5.0,48.0,59.0,48.0,48.0,59.0,59.0,19,49,65,65,11.0,0.0,0.0,65,0.0,0,1.0,1.0,0.0,0.0
434987,100,1.0,1.0,2.0,30.0,30.0,30.0,30.0,30.0,30.0,2,2,3,265,20.3,0.0,0.0,98,1.0,0,1.0,0.0,1.0,0.0
417504,100,29.0,40.0,4.0,1.0,365.0,1.0,1.0,1125.0,1125.0,30,60,90,167,10.0,0.0,0.0,167,0.0,0,29.0,15.0,10.0,0.0
417504,100,29.0,40.0,4.0,1.0,365.0,1.0,1.0,1125.0,1125.0,27,57,87,164,10.0,0.0,0.0,164,0.0,0,29.0,15.0,10.0,0.0
417504,100,29.0,40.0,4.0,1.0,365.0,1.0,1.0,1125.0,1125.0,30,60,90,167,2.0,0.0,0.0,167,0.0,0,29.0,15.0,10.0,0.0
449787,100,1.0,1.0,2.0,30.0,180.0,30.0,30.0,180.0,180.0,0,11,41,316,20.3,4.0,1.0,149,3.0,240,1.0,1.0,0.0,0.0
